"Data Source","Transaction ID","Match ID","Status","Account ID","Alert ID","Alert Name","Alert Status","Created Date","Edited","Extract Status","Import Job ID","Journal Export Job ID","Match Process Name","Matched","Matched By","Matched On","Rule Name","Rule Type","Support ID","Support Type","Supported By","Supported On","Adjusted","Adjustment Type","Adjusted By","Adjusted On","Adjustment To","Location","Date","Amount","Reference","Memo1","Memo2","Bank Branch","Bank Main Branch","POS Memo","Pickup Date","Pickup Day","POS Memo2","Accounting Date","Adjustment Debit Account","LedgerID","Currency Code","Monthly Fee","Fee Amount","Approved By","Error Date","Adjustment Credit Account","Fee Type","Name","Category","ID","Description","Entity","Journal Source"
"GL","1001","9108","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10010","2017-08-01","1000","","","","","","NE-1:10010","","","","","","","","","","","","","","","","","","",""
"Pronto Sub","1002","9108","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10010","2017-08-01","1000","","","","","","NE-1:10010","2017-08-02","Wed","10010-08/01/2017-Wed","","","","","","","","","","","","","","","",""
"GL","1003","9109","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10010","2017-08-03","3000","","","","","","NE-1:10010","","","","","","","","","","","","","","","","","","",""
"Pronto Sub","1005","9109","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10010","2017-08-03","3000","","","","","","NE-1:10010","2017-08-04","Fri","10010-08/03/2017-Fri","","","","","","","","","","","","","","","",""
"GL","1006","9110","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10010","2017-08-08","850","","","","","","NE-1:10010","","","","","","","","","","","","","","","","","","",""
"Pronto Sub","1010","9110","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10010","2017-08-08","850","","","","","","NE-1:10010","2017-08-09","Wed","10010-08/08/2017-Wed","","","","","","","","","","","","","","","",""
"GL","1008","9111","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","9106","Timing","Administrator ","2023-10-31T18:20:55","No","","","","","10010","2017-08-10","2550","","","","","","NE-1:10010","","","","","","","","","","","","","","","","","","",""
"Pronto Sub","1013","9111","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10010","2017-08-10","2550","","","","","","NE-1:10010","2017-08-11","Fri","10010-08/10/2017-Fri","","","","","","","","","","","","","","","",""
"GL","1011","9112","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10010","2017-08-15","800","","","","","","NE-1:10010","","","","","","","","","","","","","","","","","","",""
"Pronto Sub","1018","9112","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10010","2017-08-15","800","","","","","","NE-1:10010","2017-08-16","Wed","10010-08/15/2017-Wed","","","","","","","","","","","","","","","",""
"GL","1013","9113","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10010","2017-08-17","2400","","","","","","NE-1:10010","","","","","","","","","","","","","","","","","","",""
"Pronto Sub","1021","9113","Confirmed Match","103-55533","","","","2023-10-31T18:11:56","No","Open","100000000002617","","GL to POS","Yes","TM_SYSTEM","2023-10-31T18:32:21","1-1 Exact Amt Loc Date","1 To 1","","","","","No","","","","","10010","2017-08-17","2400","","","","","","NE-1:10010","2017-08-18","Fri","10010-08/17/2017-Fri","","","","","","","","","","","","","","","",""
